DATE,MEHOINUSALA646N
1984-01-01,17310
1985-01-01,18333
1986-01-01,19132
1987-01-01,19734
1988-01-01,19948
1989-01-01,21284
1990-01-01,23357
1991-01-01,24346
1992-01-01,25808
1993-01-01,25082
1994-01-01,27196
1995-01-01,25991
1996-01-01,30302
1997-01-01,31939
1998-01-01,36266
1999-01-01,36251
2000-01-01,35424
2001-01-01,35160
2002-01-01,37603
2003-01-01,37255
2004-01-01,36629
2005-01-01,37150
2006-01-01,37952
2007-01-01,42212
2008-01-01,44476
2009-01-01,39980
2010-01-01,40933
2011-01-01,42590
2012-01-01,43464
2013-01-01,47320
2014-01-01,42278
2015-01-01,44509
2016-01-01,47221
2017-01-01,50865
2018-01-01,49936
