DATE,MEHOINUSSCA646N
1984-01-01,20309
1985-01-01,20036
1986-01-01,21968
1987-01-01,25049
1988-01-01,25533
1989-01-01,23798
1990-01-01,28735
1991-01-01,27463
1992-01-01,27578
1993-01-01,26053
1994-01-01,29846
1995-01-01,29071
1996-01-01,34665
1997-01-01,34262
1998-01-01,33267
1999-01-01,36462
2000-01-01,37570
2001-01-01,37736
2002-01-01,37812
2003-01-01,38479
2004-01-01,38691
2005-01-01,40230
2006-01-01,39617
2007-01-01,44213
2008-01-01,42155
2009-01-01,41101
2010-01-01,41698
2011-01-01,40084
2012-01-01,44401
2013-01-01,43563
2014-01-01,44929
2015-01-01,46360
2016-01-01,54336
2017-01-01,54537
2018-01-01,57444
