DATE,NCHOWN
1984-01-01,68.8
1985-01-01,68.0
1986-01-01,68.2
1987-01-01,68.4
1988-01-01,68.3
1989-01-01,69.4
1990-01-01,69.0
1991-01-01,69.3
1992-01-01,68.6
1993-01-01,68.8
1994-01-01,68.7
1995-01-01,70.1
1996-01-01,70.4
1997-01-01,70.2
1998-01-01,71.3
1999-01-01,71.7
2000-01-01,71.1
2001-01-01,71.3
2002-01-01,70.0
2003-01-01,70.0
2004-01-01,69.8
2005-01-01,70.9
2006-01-01,70.2
2007-01-01,70.3
2008-01-01,69.4
2009-01-01,70.1
2010-01-01,69.5
2011-01-01,68.3
2012-01-01,67.2
2013-01-01,67.3
2014-01-01,66.4
2015-01-01,65.2
2016-01-01,65.7
2017-01-01,66.3
2018-01-01,65.2
2019-01-01,65.1
