DATE,VAHOWN
1984-01-01,68.3
1985-01-01,68.5
1986-01-01,68.2
1987-01-01,69.0
1988-01-01,69.8
1989-01-01,70.2
1990-01-01,69.8
1991-01-01,68.9
1992-01-01,67.8
1993-01-01,68.5
1994-01-01,69.3
1995-01-01,68.1
1996-01-01,68.5
1997-01-01,68.4
1998-01-01,69.4
1999-01-01,71.2
2000-01-01,73.9
2001-01-01,75.1
2002-01-01,74.4
2003-01-01,75.0
2004-01-01,73.4
2005-01-01,71.2
2006-01-01,71.1
2007-01-01,71.5
2008-01-01,70.6
2009-01-01,69.7
2010-01-01,68.7
2011-01-01,67.9
2012-01-01,67.8
2013-01-01,68.1
2014-01-01,68.7
2015-01-01,67.1
2016-01-01,66.3
2017-01-01,67.5
2018-01-01,66.0
2019-01-01,67.6
