DATE,MEHOINUSNCA646N
1984-01-01,20569
1985-01-01,21451
1986-01-01,21861
1987-01-01,22760
1988-01-01,24415
1989-01-01,26406
1990-01-01,26329
1991-01-01,26853
1992-01-01,27771
1993-01-01,28820
1994-01-01,30114
1995-01-01,31979
1996-01-01,35601
1997-01-01,35840
1998-01-01,35838
1999-01-01,37254
2000-01-01,38317
2001-01-01,38162
2002-01-01,36515
2003-01-01,37279
2004-01-01,40238
2005-01-01,42056
2006-01-01,39797
2007-01-01,43513
2008-01-01,42930
2009-01-01,41906
2010-01-01,43830
2011-01-01,45206
2012-01-01,41553
2013-01-01,46337
2014-01-01,46784
2015-01-01,50797
2016-01-01,53764
2017-01-01,49547
2018-01-01,53369
