DATE,GANPTL
1984-01-01,1.57
1984-04-01,1.41
1984-07-01,1.49
1984-10-01,1.36
1985-01-01,1.43
1985-04-01,1.16
1985-07-01,1.20
1985-10-01,1.17
1986-01-01,1.17
1986-04-01,1.13
1986-07-01,1.10
1986-10-01,1.11
1987-01-01,1.41
1987-04-01,1.35
1987-07-01,1.37
1987-10-01,1.22
1988-01-01,1.24
1988-04-01,1.38
1988-07-01,1.34
1988-10-01,1.27
1989-01-01,1.20
1989-04-01,1.28
1989-07-01,1.38
1989-10-01,1.40
1990-01-01,1.56
1990-04-01,1.69
1990-07-01,1.83
1990-10-01,1.88
1991-01-01,2.13
1991-04-01,2.13
1991-07-01,2.20
1991-10-01,2.12
1992-01-01,2.01
1992-04-01,1.79
1992-07-01,1.58
1992-10-01,1.43
1993-01-01,1.49
1993-04-01,1.40
1993-07-01,1.41
1993-10-01,1.10
1994-01-01,1.03
1994-04-01,0.92
1994-07-01,0.90
1994-10-01,0.74
1995-01-01,0.69
1995-04-01,0.68
1995-07-01,0.76
1995-10-01,0.78
1996-01-01,0.81
1996-04-01,0.86
1996-07-01,0.95
1996-10-01,1.01
1997-01-01,0.91
1997-04-01,0.76
1997-07-01,0.82
1997-10-01,1.02
1998-01-01,1.14
1998-04-01,0.97
1998-07-01,0.88
1998-10-01,0.82
1999-01-01,0.75
1999-04-01,0.78
1999-07-01,0.78
1999-10-01,0.68
2000-01-01,0.73
2000-04-01,0.70
2000-07-01,0.77
2000-10-01,0.88
2001-01-01,0.85
2001-04-01,0.92
2001-07-01,0.91
2001-10-01,0.97
2002-01-01,0.86
2002-04-01,0.81
2002-07-01,0.87
2002-10-01,0.84
2003-01-01,0.80
2003-04-01,0.83
2003-07-01,0.79
2003-10-01,0.75
2004-01-01,0.60
2004-04-01,0.58
2004-07-01,0.59
2004-10-01,0.61
2005-01-01,0.49
2005-04-01,0.53
2005-07-01,0.54
2005-10-01,0.52
2006-01-01,0.53
2006-04-01,0.48
2006-07-01,0.62
2006-10-01,0.65
2007-01-01,0.76
2007-04-01,0.90
2007-07-01,1.18
2007-10-01,1.71
2008-01-01,2.50
2008-04-01,3.05
2008-07-01,3.53
2008-10-01,4.10
2009-01-01,4.82
2009-04-01,5.59
2009-07-01,6.01
2009-10-01,6.38
2010-01-01,6.38
2010-04-01,6.02
2010-07-01,5.95
2010-10-01,5.51
2011-01-01,5.59
2011-04-01,5.16
2011-07-01,4.83
2011-10-01,4.75
2012-01-01,4.66
2012-04-01,4.24
2012-07-01,3.73
2012-10-01,2.72
2013-01-01,2.59
2013-04-01,2.33
2013-07-01,2.24
2013-10-01,2.10
2014-01-01,1.94
2014-04-01,1.69
2014-07-01,1.60
2014-10-01,1.46
2015-01-01,1.35
2015-04-01,1.25
2015-07-01,1.14
2015-10-01,1.23
2016-01-01,1.35
2016-04-01,1.28
2016-07-01,1.31
2016-10-01,1.29
2017-01-01,1.25
2017-04-01,1.22
2017-07-01,1.22
2017-10-01,1.22
2018-01-01,1.22
2018-04-01,1.15
2018-07-01,1.22
2018-10-01,1.20
2019-01-01,1.15
2019-04-01,1.06
2019-07-01,1.03
2019-10-01,0.69
