DATE,NCNPTL
1984-01-01,1.26
1984-04-01,1.08
1984-07-01,1.04
1984-10-01,0.87
1985-01-01,0.88
1985-04-01,0.81
1985-07-01,0.79
1985-10-01,0.75
1986-01-01,0.81
1986-04-01,0.82
1986-07-01,0.92
1986-10-01,0.84
1987-01-01,1.16
1987-04-01,1.14
1987-07-01,1.12
1987-10-01,1.00
1988-01-01,0.77
1988-04-01,0.75
1988-07-01,0.74
1988-10-01,0.68
1989-01-01,0.74
1989-04-01,0.80
1989-07-01,0.94
1989-10-01,0.93
1990-01-01,1.06
1990-04-01,1.34
1990-07-01,1.68
1990-10-01,1.98
1991-01-01,2.32
1991-04-01,2.39
1991-07-01,2.33
1991-10-01,1.97
1992-01-01,1.86
1992-04-01,1.85
1992-07-01,1.62
1992-10-01,1.34
1993-01-01,1.29
1993-04-01,1.17
1993-07-01,0.99
1993-10-01,0.82
1994-01-01,0.73
1994-04-01,0.60
1994-07-01,0.57
1994-10-01,0.53
1995-01-01,0.67
1995-04-01,0.54
1995-07-01,0.68
1995-10-01,0.61
1996-01-01,0.66
1996-04-01,0.60
1996-07-01,0.64
1996-10-01,0.52
1997-01-01,0.51
1997-04-01,0.67
1997-07-01,0.73
1997-10-01,0.73
1998-01-01,0.73
1998-04-01,0.69
1998-07-01,0.67
1998-10-01,0.75
1999-01-01,0.84
1999-04-01,0.83
1999-07-01,0.81
1999-10-01,0.84
2000-01-01,0.90
2000-04-01,0.95
2000-07-01,1.07
2000-10-01,1.33
2001-01-01,1.37
2001-04-01,1.40
2001-07-01,1.41
2001-10-01,1.56
2002-01-01,1.43
2002-04-01,1.39
2002-07-01,1.38
2002-10-01,1.39
2003-01-01,1.35
2003-04-01,1.15
2003-07-01,0.98
2003-10-01,0.87
2004-01-01,0.71
2004-04-01,0.64
2004-07-01,0.57
2004-10-01,0.51
2005-01-01,0.49
2005-04-01,0.45
2005-07-01,0.39
2005-10-01,0.37
2006-01-01,0.38
2006-04-01,0.35
2006-07-01,0.35
2006-10-01,0.36
2007-01-01,0.38
2007-04-01,0.42
2007-07-01,0.54
2007-10-01,0.86
2008-01-01,1.22
2008-04-01,1.53
2008-07-01,2.03
2008-10-01,2.81
2009-01-01,3.84
2009-04-01,4.54
2009-07-01,5.48
2009-10-01,6.96
2010-01-01,7.57
2010-04-01,7.34
2010-07-01,7.45
2010-10-01,7.14
2011-01-01,7.23
2011-04-01,6.98
2011-07-01,7.22
2011-10-01,7.45
2012-01-01,7.67
2012-04-01,7.77
2012-07-01,7.94
2012-10-01,7.18
2013-01-01,6.53
2013-04-01,5.78
2013-07-01,5.01
2013-10-01,4.52
2014-01-01,4.19
2014-04-01,3.81
2014-07-01,3.46
2014-10-01,2.83
2015-01-01,2.49
2015-04-01,2.25
2015-07-01,2.02
2015-10-01,1.88
2016-01-01,1.74
2016-04-01,1.60
2016-07-01,1.54
2016-10-01,1.47
2017-01-01,1.37
2017-04-01,1.22
2017-07-01,1.16
2017-10-01,1.15
2018-01-01,1.09
2018-04-01,1.00
2018-07-01,0.89
2018-10-01,0.85
2019-01-01,0.82
2019-04-01,0.70
2019-07-01,0.63
2019-10-01,0.67
