DATE,MEHOINUSGAA646N
1984-01-01,19984
1985-01-01,21049
1986-01-01,24370
1987-01-01,26714
1988-01-01,26566
1989-01-01,27542
1990-01-01,27561
1991-01-01,27212
1992-01-01,28797
1993-01-01,31663
1994-01-01,31467
1995-01-01,34099
1996-01-01,32496
1997-01-01,36663
1998-01-01,38665
1999-01-01,39425
2000-01-01,41901
2001-01-01,42576
2002-01-01,42939
2003-01-01,42438
2004-01-01,40984
2005-01-01,45926
2006-01-01,49344
2007-01-01,48641
2008-01-01,46227
2009-01-01,43340
2010-01-01,44117
2011-01-01,45973
2012-01-01,48121
2013-01-01,46992
2014-01-01,49555
2015-01-01,50768
2016-01-01,53527
2017-01-01,57985
2018-01-01,55821
